LECROYWM8500,500500138,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,21-Mar-2024 17:23:00,0                 
Time,Ampl
-2.45e-008,0.000282636
-2.44e-008,0.000270646
-2.43e-008,0.0002381
-2.42e-008,0.000226109
-2.41e-008,0.0002381
-2.4e-008,0.000246664
-2.39e-008,0.000262081
-2.38e-008,0.000277497
-2.37e-008,0.000265507
-2.36e-008,0.000286062
-2.35e-008,0.00026722
-2.34e-008,0.000298053
-2.33e-008,0.000349441
-2.32e-008,0.000397404
-2.31e-008,0.000431663
-2.3e-008,0.000399117
-2.29e-008,0.000327173
-2.28e-008,0.00022097
-2.27e-008,0.000142175
-2.26e-008,9.93509e-005
-2.25e-008,0.000118193
-2.24e-008,0.000149026
-2.23e-008,0.000179859
-2.22e-008,0.000188424
-2.21e-008,0.000155878
-2.2e-008,0.000155878
-2.19e-008,0.000155878
-2.18e-008,0.000164443
-2.17e-008,0.000210692
-2.16e-008,0.000265507
-2.15e-008,0.000299766
-2.14e-008,0.000294627
-2.13e-008,0.000277497
-2.12e-008,0.000272359
-2.11e-008,0.00022097
-2.1e-008,0.000212405
-2.09e-008,0.000198702
-2.08e-008,0.000202128
-2.07e-008,0.000193563
-2.06e-008,0.00019185
-2.05e-008,0.000190137
-2.04e-008,0.000200415
-2.03e-008,0.000227822
-2.02e-008,0.000226109
-2.01e-008,0.000231248
-2e-008,0.000217544
-1.99e-008,0.000183285
-1.98e-008,0.000143888
-1.97e-008,0.000106203
-1.96e-008,0.000102777
-1.95e-008,0.000130184
-1.94e-008,0.00019185
-1.93e-008,0.000236387
-1.92e-008,0.000298053
-1.91e-008,0.000334025
-1.9e-008,0.000322034
-1.89e-008,0.00030833
-1.88e-008,0.000263794
-1.87e-008,0.000231248
-1.86e-008,0.000202128
-1.85e-008,0.000161017
-1.84e-008,0.000143888
-1.83e-008,0.000140462
-1.82e-008,0.000152452
-1.81e-008,0.000167869
-1.8e-008,0.000188424
-1.79e-008,0.000222683
-1.78e-008,0.000231248
-1.77e-008,0.000226109
-1.76e-008,0.000186711
-1.75e-008,0.000150739
-1.74e-008,0.000114767
-1.73e-008,9.7638e-005
-1.72e-008,0.000125045
-1.71e-008,0.000203841
-1.7e-008,0.000270646
-1.69e-008,0.000334025
-1.68e-008,0.000368284
-1.67e-008,0.000361432
-1.66e-008,0.000311756
-1.65e-008,0.000243238
-1.64e-008,0.000188424
-1.63e-008,0.0001456
-1.62e-008,0.000155878
-1.61e-008,0.000169582
-1.6e-008,0.000203841
-1.59e-008,0.000222683
-1.58e-008,0.000239813
