,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.03062,0.01621,0.04503,6.194e-05,5.764e-05,6.623e-05,1.262e-05,-7.205e-06,3.244e-05,0.004599,0.004457,0.00474,2.738,2.72,2.756,3.964e-08,3.831e-08,4.097e-08,0.000381,0.00036,0.0004021,356250000.0,2238.7,7.4832e-06,6.1937e-05,2.1475e-06
1,0.02825,0.01503,0.04146,6.1e-05,5.74e-05,6.461e-05,4.097e-08,-2.572e-05,2.58e-05,0.007901,0.007711,0.008091,2.101,2.088,2.114,2.77e-08,2.706e-08,2.835e-08,0.0003603,0.0003407,0.0003799,356200000.0,2542.8,7.4842e-06,6.1001e-05,1.8022e-06
2,0.03853,-0.01635,0.09341,6.612e-05,5.841e-05,7.383e-05,9.598e-06,-6.061e-05,7.981e-05,0.006478,0.006253,0.006703,0.3989,0.3817,0.416,3.58e-08,3.475e-08,3.684e-08,4.263e-05,2.279e-05,6.247e-05,353240000.0,2127.0,7.5471e-06,6.6118e-05,3.856e-06
3,0.009093,0.003365,0.01482,3.14e-05,2.606e-05,3.675e-05,9.622e-06,-2.613e-05,4.537e-05,0.003663,0.00348,0.003846,1.466,1.438,1.495,4.069e-08,3.848e-08,4.29e-08,0.000425,0.0003731,0.000477,355250000.0,2688.3,7.5042e-06,3.1405e-05,2.6747e-06
4,0.0276,0.01324,0.04195,6.128e-05,5.712e-05,6.544e-05,4.201e-06,-2.233e-05,3.073e-05,0.007218,0.007011,0.007425,2.264,2.248,2.28,2.679e-08,2.605e-08,2.752e-08,0.0003297,0.0003093,0.0003502,353740000.0,3248.9,7.5362e-06,6.1282e-05,2.0801e-06
5,0.03498,0.02047,0.0495,6.352e-05,5.994e-05,6.711e-05,9.382e-06,-9.33e-06,2.809e-05,0.007884,0.007672,0.008096,2.452,2.437,2.467,2.519e-08,2.456e-08,2.582e-08,2.956e-05,1.039e-05,4.872e-05,353850000.0,2989.8,7.534e-06,6.3524e-05,1.7941e-06
6,0.01765,-0.00466,0.03997,4.261e-05,3.153e-05,5.369e-05,1.162e-05,-5.072e-05,7.397e-05,0.001207,-0.007619,0.01003,0.6804,-7.124,8.485,5.001e-09,0.0,0.0,0.0005204,0.000429,0.0006118,352940000.0,2733.9,7.5533e-06,4.2611e-05,5.5396e-06
7,0.05456,0.0304,0.07873,6.263e-05,5.684e-05,6.843e-05,3.482e-05,2.603e-05,4.361e-05,0.004744,0.004517,0.004971,3.444,3.415,3.472,4.012e-08,3.801e-08,4.224e-08,0.0002561,0.0002218,0.0002903,353120000.0,2542.5,7.5495e-06,6.2632e-05,2.8967e-06
8,0.0329,0.01987,0.04594,6.336e-05,6.033e-05,6.639e-05,3.656e-07,-2.114e-05,2.187e-05,0.008307,0.008141,0.008472,2.248,2.237,2.259,2.807e-08,2.753e-08,2.861e-08,0.0002682,0.0002513,0.0002851,352860000.0,2206.0,7.5551e-06,6.3358e-05,1.5139e-06
9,0.03907,0.02336,0.05477,5.979e-05,5.583e-05,6.376e-05,1.846e-05,3.633e-06,3.328e-05,0.005134,0.004965,0.005303,2.702,2.683,2.721,3.924e-08,3.783e-08,4.064e-08,0.0004482,0.0004228,0.0004736,353380000.0,2352.7,7.5441e-06,5.9792e-05,1.9828e-06
10,0.03386,0.02146,0.04626,6.139e-05,5.819e-05,6.459e-05,1.125e-05,-4.835e-06,2.733e-05,0.00761,0.007435,0.007785,2.234,2.221,2.247,2.728e-08,2.668e-08,2.788e-08,0.0001441,0.0001266,0.0001617,352540000.0,2966.3,7.562e-06,6.1394e-05,1.6002e-06
11,0.0798,0.06245,0.09715,6.923e-05,6.683e-05,7.163e-05,2.617e-05,2.025e-05,3.21e-05,0.009117,0.008928,0.009306,1.877,1.865,1.888,2.626e-08,2.575e-08,2.677e-08,0.0001151,9.821e-05,0.0001319,351700000.0,2361.4,7.5801e-06,6.9232e-05,1.2003e-06
12,0.05383,0.03917,0.0685,6.593e-05,6.349e-05,6.836e-05,1.255e-05,1.247e-06,2.385e-05,0.009502,0.009319,0.009685,2.044,2.034,2.055,2.637e-08,2.589e-08,2.685e-08,0.0002949,0.000278,0.0003118,352070000.0,2708.5,7.5721e-06,6.5926e-05,1.2186e-06
13,0.1294,0.07123,0.1875,7.997e-05,7.218e-05,8.776e-05,4.195e-05,3.793e-05,4.597e-05,0.004207,0.003898,0.004516,3.601,3.557,3.644,3.862e-08,3.553e-08,4.171e-08,-5.46e-05,-9.481e-05,-1.439e-05,353200000.0,2372.5,7.5479e-06,7.9969e-05,3.8935e-06
14,0.03812,0.02505,0.0512,6.224e-05,5.886e-05,6.562e-05,1.807e-05,5.506e-06,3.063e-05,0.007943,0.007767,0.008119,2.947,2.935,2.96,2.861e-08,2.799e-08,2.924e-08,7.063e-05,5.179e-05,8.948e-05,353780000.0,2761.6,7.5356e-06,6.2236e-05,1.6901e-06
15,0.03799,0.02564,0.05034,6.217e-05,5.92e-05,6.515e-05,1.367e-05,2.857e-07,2.705e-05,0.007572,0.007404,0.00774,2.366,2.354,2.379,2.803e-08,2.743e-08,2.864e-08,0.0002631,0.0002457,0.0002804,353720000.0,2468.7,7.5367e-06,6.2173e-05,1.4867e-06
16,0.02977,0.01427,0.04527,5.863e-05,5.394e-05,6.331e-05,1.277e-05,-9.63e-06,3.517e-05,0.004434,0.004271,0.004597,2.656,2.635,2.678,4.115e-08,3.949e-08,4.281e-08,0.000394,0.0003682,0.0004198,353880000.0,2557.9,7.5334e-06,5.8628e-05,2.3425e-06
17,0.02317,0.02031,0.02602,5.407e-05,0.0,0.0,1.497e-06,-6.502e-06,9.497e-06,0.007027,0.006864,0.00719,3.058,3.045,3.071,2.991e-08,2.921e-08,3.061e-08,0.0004599,0.0004445,0.0004753,352870000.0,2364.2,7.5549e-06,5.4073e-05,
18,0.04207,0.02809,0.05605,6.221e-05,5.833e-05,6.609e-05,2.799e-05,1.915e-05,3.683e-05,0.005731,0.005575,0.005888,-2.957,-2.972,-2.941,3.498e-08,3.397e-08,3.599e-08,0.000113,9.227e-05,0.0001338,352810000.0,2577.6,7.5561e-06,6.2208e-05,1.9385e-06
19,0.03983,-0.005619,0.08528,6.016e-05,4.844e-05,7.187e-05,2.1e-05,-1.803e-05,6.004e-05,1.978e-09,0.0,0.0,6.283,0.0,0.0,5e-09,0.0,0.0,0.0004556,0.000383,0.0005281,353750000.0,2306.7,7.536e-06,6.0157e-05,5.8565e-06
20,0.02882,0.02812,0.02952,5.992e-05,5.874e-05,6.11e-05,1.378e-08,0.0,0.0,0.006905,0.006738,0.007072,1.948,1.934,1.961,3.138e-08,3.062e-08,3.214e-08,0.0003996,0.0003819,0.0004173,353320000.0,2296.4,7.5454e-06,5.9915e-05,5.9019e-07
21,0.026,-0.00787,0.05987,5.171e-05,4.037e-05,6.305e-05,1.034e-05,-5.142e-05,7.21e-05,8.192e-07,-0.006001,0.006003,4.692,-7628.0,7637.0,5.765e-09,0.0,0.0,0.0004933,0.000412,0.0005746,353410000.0,2061.4,7.5434e-06,5.1709e-05,5.6702e-06
22,0.02451,0.02089,0.02814,5.752e-05,0.0,0.0,1.292e-05,5.118e-06,2.072e-05,0.003487,0.00335,0.003624,1.006,0.9835,1.028,3.799e-08,3.64e-08,3.957e-08,0.0003424,0.0003268,0.0003581,354610000.0,2145.6,7.5178e-06,5.752e-05,
23,0.01519,0.007138,0.02325,4.004e-05,3.57e-05,4.437e-05,7.286e-06,-2.191e-05,3.648e-05,0.004105,0.00392,0.004289,1.501,1.475,1.527,3.852e-08,3.667e-08,4.038e-08,0.0004481,0.0004109,0.0004853,354210000.0,2596.8,7.5263e-06,4.0038e-05,2.1682e-06
24,0.04875,0.03089,0.06661,6.775e-05,6.451e-05,7.1e-05,1.082e-05,-4.803e-06,2.643e-05,0.009993,0.009785,0.0102,2.249,2.238,2.261,2.681e-08,2.628e-08,2.734e-08,0.0001555,0.0001359,0.0001751,356360000.0,2789.2,7.4808e-06,6.7754e-05,1.6228e-06
