,run_name,frequency,frequency error,SAW speed,thermal diffusivity,thermal diffusivity error,acoustic damping,acoustic damping error,A,A error,beta,beta error,B,B error,theta,theta error,C,C error
0,C2w00000.txt,356274787.85965914,2254.2069908482176,2707.6883877334094,6.113798260750894e-05,2.794076180781275e-06,4.170842705168279e-08,1.001423454762893e-09,0.03194633862476014,0.009315231034630339,1.6156232306618263e-05,1.131179956831352e-05,0.004155558255763564,9.00266526800168e-05,2.455947417191436,0.012573042354124597,0.00039054676215920665,1.4223848868608193e-05
0,C2w00001.txt,356198585.2973382,2560.1301761046802,2707.1092482597696,6.093677524645388e-05,6.171777181128202e-07,2.7721119840310757e-08,3.220667983182981e-10,0.02828576661670435,0.00035517935315822376,2.070278592514443e-09,nan,0.007904994496679384,9.472595523180418e-05,2.1015101777894163,0.006717407438426415,0.00034057313650470055,8.844113358236167e-06
0,C2w00002.txt,353212459.7182772,2140.88481553798,2684.4146938589065,6.595946852876771e-05,3.87860561017413e-06,3.58041676595873e-08,5.247489525505502e-10,0.0376397551751305,0.027339650231407008,8.500168647731758e-06,3.662496707222353e-05,0.006476239295769166,0.0001126341638090075,0.405138666718662,0.008600500543003597,9.198451931192887e-05,1.002662939349691e-05
0,C2w00003.txt,355250398.26386327,2767.8086082227883,2699.9030268053607,3.169003219173112e-05,2.645306905599617e-06,4.074538939332333e-08,1.0973297225194205e-09,0.009303354577681663,0.00288165351264308,1.0057554452183041e-05,1.7390888853675712e-05,0.0036611540828794457,9.057600917330728e-05,1.4675430227037485,0.014275580343782512,0.00042276993866887947,2.571762117258342e-05
0,C2w00004.txt,353861444.9312308,3202.144871039536,2689.346981477354,6.153024716191436e-05,2.0669315519936927e-06,2.686344807970852e-08,3.655353060497282e-10,0.028559539744874112,0.007220163328733887,5.942285077839876e-06,1.2432964938762286e-05,0.007196831373111054,0.00010278807409324362,2.243622702772179,0.008004405121118552,0.00032091036400327895,1.0233321648720715e-05
0,C2w00005.txt,353987553.3028678,3031.6133622643183,2690.3054051017953,6.304407108025511e-05,1.7885139829099684e-06,2.5192562535860788e-08,3.131520155837433e-10,0.03380550394956261,0.007105560654706258,8.103552162526778e-06,9.77114674545382e-06,0.007893435495715204,0.00010522730895633041,2.4285084973547097,0.007391033702731198,7.55381600190062e-05,9.643856266745594e-06
0,C2w00006.txt,352962350.6288574,2745.7062528879474,2682.513864779316,4.2522937886330865e-05,5.566560664708156e-06,5.000798589160774e-09,nan,0.017614375557485788,0.011175733625038464,1.1545525933354568e-05,3.1355719883016866e-05,0.0011884921846844598,0.00441692209145112,0.7100996183636263,3.980366669527063,0.0005216601052760699,4.6384372052938786e-05
0,C2w00007.txt,353161044.94936115,2555.7107256601876,2684.0239416151444,6.17453360537437e-05,3.295561710667835e-06,3.993087251206752e-08,1.2299316228439291e-09,0.050801463406180074,0.013190557801086559,3.3429368034500575e-05,5.5706052811687456e-06,0.0045798158598331865,0.00012813986533105658,3.5233000474947826,0.016484226773928246,0.0002847015238692833,1.9576448755817517e-05
0,C2w00008.txt,352908060.9391741,2230.50681574799,2682.101263137723,6.41691144957651e-05,1.5068933180550966e-06,2.803258708922837e-08,2.7110240066789454e-10,0.036771354687812896,0.00674768319166982,6.171950932565439e-06,8.857081117394426e-06,0.008323241901904123,8.32443553209928e-05,2.2459536983769994,0.005608637337991551,0.00032516921149389585,8.471976709062336e-06
0,C2w00009.txt,353423404.4462911,2365.0655737728066,2686.017873791812,6.247612454361243e-05,2.641106787951146e-06,3.8534284436293566e-08,9.824346698331397e-10,0.05051412812241785,0.011799514759153588,2.6703854888988056e-05,6.525732247170588e-06,0.004959362082033699,0.00011677606842759895,2.463423789910627,0.013591477904631333,0.00045013859883043635,1.6941555328361854e-05
