LECROYWM8500,500500138,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,21-Mar-2024 16:42:58,0                 
Time,Ampl
-2.45e-008,0.000387126
-2.44e-008,0.000376848
-2.43e-008,0.000421385
-2.42e-008,0.000419672
-2.41e-008,0.000433376
-2.4e-008,0.000417959
-2.39e-008,0.000373422
-2.38e-008,0.000327173
-2.37e-008,0.000310043
-2.36e-008,0.000306617
-2.35e-008,0.000268933
-2.34e-008,0.000239813
-2.33e-008,0.00022097
-2.32e-008,0.000176434
-2.31e-008,0.000171295
-2.3e-008,0.000198702
-2.29e-008,0.000277497
-2.28e-008,0.000328886
-2.27e-008,0.000387126
-2.26e-008,0.000390552
-2.25e-008,0.000339163
-2.24e-008,0.00029634
-2.23e-008,0.000255229
-2.22e-008,0.000236387
-2.21e-008,0.000265507
-2.2e-008,0.000299766
-2.19e-008,0.000349441
-2.18e-008,0.000363145
-2.17e-008,0.000346015
-2.16e-008,0.00029634
-2.15e-008,0.000214118
-2.14e-008,0.000119906
-2.13e-008,7.87956e-005
-2.12e-008,6.16661e-005
-2.11e-008,8.90732e-005
-2.1e-008,0.000147313
-2.09e-008,0.000224396
-2.08e-008,0.000287775
-2.07e-008,0.000318608
-2.06e-008,0.000291201
-2.05e-008,0.000265507
-2.04e-008,0.000262081
-2.03e-008,0.000272359
-2.02e-008,0.00032546
-2.01e-008,0.000340876
-2e-008,0.000340876
-1.99e-008,0.000286062
-1.98e-008,0.000181572
-1.97e-008,9.5925e-005
-1.96e-008,1.88424e-005
-1.95e-008,1.19906e-005
-1.94e-008,5.48143e-005
-1.93e-008,0.000102777
-1.92e-008,0.000171295
-1.91e-008,0.000219257
-1.9e-008,0.000251803
-1.89e-008,0.000277497
-1.88e-008,0.000294627
-1.87e-008,0.000313469
-1.86e-008,0.000364858
-1.85e-008,0.000411107
-1.84e-008,0.000507032
-1.83e-008,0.000548143
-1.82e-008,0.000558421
-1.81e-008,0.000520736
-1.8e-008,0.000421385
-1.79e-008,0.000304905
-1.78e-008,0.000217544
-1.77e-008,0.000149026
-1.76e-008,0.000123332
-1.75e-008,0.000152452
-1.74e-008,0.000164443
-1.73e-008,0.000111342
-1.72e-008,6.85179e-005
-1.71e-008,2.56942e-005
-1.7e-008,3.59719e-005
-1.69e-008,9.24991e-005
-1.68e-008,0.000178146
-1.67e-008,0.000320321
-1.66e-008,0.000402543
-1.65e-008,0.000453931
-1.64e-008,0.000438514
-1.63e-008,0.000385413
-1.62e-008,0.000346015
-1.61e-008,0.00025009
-1.6e-008,0.000169582
-1.59e-008,8.73603e-005
-1.58e-008,1.19906e-005
-1.57e-008,-3.93978e-005
-1.56e-008,-6.5092e-005
-1.55e-008,-2.39813e-005
-1.54e-008,4.62496e-005
-1.53e-008,0.000140462
-1.52e-008,0.000227822
-1.51e-008,0.00032546
-1.5e-008,0.000349441
-1.49e-008,0.000358006
-1.48e-008,0.000344302
-1.47e-008,0.000351154
-1.46e-008,0.000346015
-1.45e-008,0.000378561
-1.44e-008,0.000414533
-1.43e-008,0.000445366
-1.42e-008,0.000409394
-1.41e-008,0.000344302
-1.4e-008,0.000258655
-1.39e-008,0.0001456
-1.38e-008,9.7638e-005
-1.37e-008,9.07862e-005
-1.36e-008,0.000125045
-1.35e-008,0.000190137
-1.34e-008,0.00025009
-1.33e-008,0.000292914
-1.32e-008,0.000311756
-1.31e-008,0.000315182
-1.3e-008,0.000268933
-1.29e-008,0.00022097
-1.28e-008,0.000135323
-1.27e-008,0.000106203
-1.26e-008,8.73603e-005
-1.25e-008,0.000118193
-1.24e-008,0.00020898
-1.23e-008,0.000291201
-1.22e-008,0.00035458
-1.21e-008,0.000368284
-1.2e-008,0.000346015
-1.19e-008,0.000342589
-1.18e-008,0.000335738
-1.17e-008,0.000313469
-1.16e-008,0.00030833
-1.15e-008,0.000303192
-1.14e-008,0.00027921
-1.13e-008,0.000232961
-1.12e-008,0.000232961
-1.11e-008,0.000226109
-1.1e-008,0.000299766
-1.09e-008,0.000411107
-1.08e-008,0.000577263
-1.07e-008,0.000741706
-1.06e-008,0.000890732
-1.05e-008,0.000991796
-1.04e-008,0.0010055
-1.03e-008,0.000983232
-1.02e-008,0.000916427
-1.01e-008,0.000906149
-1e-008,0.000889019
-9.9e-009,0.000906149
-9.8e-009,0.00091814
-9.7e-009,0.000933556
-9.6e-009,0.000954111
-9.5e-009,0.000954111
-9.4e-009,0.000950686
-9.3e-009,0.000931843
-9.2e-009,0.000904436
-9.1e-009,0.000882168
-9e-009,0.000823927
-8.9e-009,0.000781104
-8.8e-009,0.000801659
-8.7e-009,0.000868464
-8.6e-009,0.00097638
-8.5e-009,0.00104318
-8.4e-009,0.00105175
-8.3e-009,0.000952398
-8.2e-009,0.000803372
-8.1e-009,0.000678327
-8e-009,0.000609809
-7.9e-009,0.000637216
-7.8e-009,0.00075541
-7.7e-009,0.000899297
-7.6e-009,0.000986657
-7.5e-009,0.000942121
-7.4e-009,0.000763974
-7.3e-009,0.000495042
-7.2e-009,0.0002381
-7.1e-009,4.79625e-005
-7e-009,-1.88424e-005
-6.9e-009,7.70826e-005
-6.8e-009,0.000289488
-6.7e-009,0.000505319
-6.6e-009,0.000674901
-6.5e-009,0.000710873
-6.4e-009,0.000628652
-6.3e-009,0.000477912
-6.2e-009,0.000313469
-6.1e-009,0.000222683
-6e-009,0.000173008
-5.9e-009,0.000196989
-5.8e-009,0.000227822
-5.7e-009,0.000190137
-5.6e-009,-8.56473e-006
-5.5e-009,-0.000287775
-5.4e-009,-0.000625226
-5.3e-009,-0.000827353
-5.2e-009,-0.000760548
-5.1e-009,-0.000248377
-5e-009,0.000729715
-4.9e-009,0.00209322
-4.8e-009,0.00365029
-4.7e-009,0.00517995
-4.6e-009,0.006576
-4.5e-009,0.00779048
-4.4e-009,0.00883709
-4.3e-009,0.0098169
-4.2e-009,0.0107573
-4.1e-009,0.01166
-4e-009,0.0123846
-3.9e-009,0.0128694
-3.8e-009,0.0130252
-3.7e-009,0.012806
-3.6e-009,0.0122801
-3.5e-009,0.0114699
-3.4e-009,0.0103942
-3.3e-009,0.00914542
-3.2e-009,0.0078453
-3.1e-009,0.00655202
-3e-009,0.00541463
-2.9e-009,0.00454445
-2.8e-009,0.00400144
-2.7e-009,0.00375992
-2.6e-009,0.00378733
-2.5e-009,0.00400144
-2.4e-009,0.00434917
-2.3e-009,0.00477912
-2.2e-009,0.00527074
-2.1e-009,0.0057949
-2e-009,0.00634989
-1.9e-009,0.00688091
-1.8e-009,0.00741363
-1.7e-009,0.00791724
-1.6e-009,0.00837974
-1.5e-009,0.00880969
-1.4e-009,0.00921223
-1.3e-009,0.00957366
-1.2e-009,0.00988199
-1.1e-009,0.0101167
-1e-009,0.010252
-9e-010,0.010252
-8e-010,0.0101167
-7e-010,0.00983917
-6e-010,0.00941093
-5e-010,0.00881311
-4e-010,0.00805256
-3e-010,0.00713956
-2e-010,0.00610837
-1e-010,0.00506861
4.138488e-023,0.00405112
1e-010,0.00322719
2e-010,0.00268419
3e-010,0.00248891
4e-010,0.00260025
5e-010,0.00293942
