,run_name,frequency,frequency error,SAW speed,thermal diffusivity,thermal diffusivity error,acoustic damping,acoustic damping error,A,A error,beta,beta error,B,B error,theta,theta error,C,C error
0,Tungsten_Calibration-2024-04-04-07.6 um-spot0-POS-1.txt,354663757.8754249,3786.236618952277,2695.444559853229,7.01623623883086e-05,1.4227004695855952e-06,3.074657166796418e-08,4.725182962134325e-10,0.08541157156410802,0.005888501401110073,3.7005786023176745e-05,8.122237899369889e-07,0.007683411382230615,0.00010054141343316227,-1.41278368658649,0.008180627329297918,2.5260258248773317e-05,1.3405574056831442e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot1-POS-1.txt,354946565.3567604,2833.5095035858517,2697.5938967113784,8.063629644455843e-05,1.2231679983325085e-06,3.538009804211565e-08,4.1593660325633696e-10,0.1572956253962755,0.009493590706294144,3.4834722236469136e-05,7.453548233434708e-07,0.010118458138140204,9.983336048411447e-05,-2.3359424119253993,0.006177964015437354,-0.0005106809145355705,1.3920587771440679e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot2-POS-1.txt,354834001.13997984,2551.6917711299047,2696.7384086638463,7.416795125606515e-05,9.454974943902324e-07,3.5482982949461335e-08,3.622158196905807e-10,0.14367531894865002,0.007188371750171674,3.3254009441350456e-05,7.505462212788311e-07,0.01074990859872005,9.178776664204354e-05,-2.12533515276839,0.0053571073618274845,-0.00014792401437176687,1.32707359728126e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot3-POS-1.txt,354856114.753591,2945.9489850891528,2696.9064721272916,6.899446384681428e-05,1.37402547809582e-06,3.3803599829377264e-08,4.985515749200652e-10,0.07155856569567162,0.006824895054173351,2.3500505910507286e-05,2.512704426057381e-06,0.007583430428615762,9.620349521803412e-05,2.6509618931943746,0.00785329291890191,-0.0004203549230268431,1.3365307502087451e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot4-POS-1.txt,354413953.0040219,2471.653380436978,2693.5460428305664,7.101384066609948e-05,1.026751363076188e-06,3.4293665677573774e-08,4.0591420920695324e-10,0.11244263904075567,0.0059841379311518506,3.362142981465778e-05,7.921966809700963e-07,0.009234617677238868,9.113862865866695e-05,-1.3986075100570767,0.00620620398019045,2.5827653432144664e-05,1.3233136195709907e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot5-POS-1.txt,355217871.52634203,3621.4607009033007,2699.6558236001993,7.16155676513488e-05,1.2736799885475314e-06,3.4439387144089584e-08,4.5846027433224084e-10,0.09010718778275355,0.007608371724496292,2.5015704856187404e-05,2.0433851172723168e-06,0.008679813047202512,9.866808324163114e-05,2.9258046428180937,0.0070710099308146646,-0.00036856690516793867,1.3782132848607953e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot6-POS-1.txt,355333906.27115315,2840.4444267771114,2700.537687660764,6.809560373776413e-05,2.1210969724814793e-06,3.92968984840628e-08,9.581345595854517e-10,0.054519194253753143,0.011077702614237527,6.301168277784503e-07,1.0000549796155557e-05,0.007106750950421044,0.00014442042918482454,2.346254985185126,0.01261965592724823,-0.0007174407486765996,2.283391391005537e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot7-POS-1.txt,355363581.7972528,3251.3797020849997,2700.763221659121,7.657490397632986e-05,1.1047458602627476e-06,3.482434706655233e-08,4.2843836480259115e-10,0.14401930357201426,0.008696956004309322,3.222129542873698e-05,9.557961599341278e-07,0.00970283883967217,0.00010113681103304621,-2.966641188653496,0.0064792541329541375,-0.00011502336323048337,1.401242312193657e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot8-POS-1.txt,355127154.3850729,3306.951291137672,2698.966373326554,6.42711541191926e-05,1.930587342393593e-06,4.453507845239616e-08,1.0625135399929846e-09,0.05265683939233428,0.008319114636346565,1.1150642456114838e-05,6.19162190966309e-06,0.006057655971059889,0.00011597140379267625,-2.308933074265411,0.012158777172995405,-0.0002063724062494885,2.1155641158656762e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot9-POS-1.txt,354906377.4124861,4275.7467953180585,2697.288468334894,6.186605273417061e-05,1.455617995537701e-06,4.273317661770457e-08,7.501805304501195e-10,0.042392512889243804,0.005131305649573977,1.0462210725093552e-05,4.894656667808052e-06,0.0056174899604929645,8.003972565229396e-05,-2.774927558639367,0.008949698882679824,0.0001529147368276746,1.4334292927415968e-05
