Study Name	Tungsten_Calibration
Sample Name	2024-04-04
Run Name	spot24
Operator	Jonas
Date	4/4/2024
Time	11:16 AM
Sign	FIX
Grating Spacing	07.6 um
Channel	3
Number Traces	6000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	11:16:26 AM
	
Time	Amplitude
0.000000E+0	-1.306952E-3
5.000000E-11	-1.269266E-3
1.000000E-10	-1.187043E-3
1.500000E-10	-1.096254E-3
2.000000E-10	-9.694930E-4
2.500000E-10	-7.999070E-4
3.000000E-10	-6.217561E-4
3.500000E-10	-4.778649E-4
4.000000E-10	-3.682336E-4
4.500000E-10	-2.962880E-4
5.000000E-10	-2.723061E-4
5.500000E-10	-2.894360E-4
6.000000E-10	-3.476777E-4
6.500000E-10	-4.573090E-4
7.000000E-10	-6.183301E-4
7.500000E-10	-8.016200E-4
8.000000E-10	-9.917619E-4
8.500000E-10	-1.157922E-3
9.000000E-10	-1.272692E-3
9.500000E-10	-1.318943E-3
1.000000E-9	-1.300100E-3
1.050000E-9	-1.238432E-3
1.100000E-9	-1.166487E-3
1.150000E-9	-1.108245E-3
1.200000E-9	-1.073985E-3
1.250000E-9	-1.067133E-3
1.300000E-9	-1.092828E-3
1.350000E-9	-1.133940E-3
1.400000E-9	-1.171626E-3
1.450000E-9	-1.223016E-3
1.500000E-9	-1.260701E-3
1.550000E-9	-1.248710E-3
1.600000E-9	-1.216164E-3
1.650000E-9	-1.176765E-3
1.700000E-9	-1.103106E-3
1.750000E-9	-9.831970E-4
1.800000E-9	-8.598617E-4
1.850000E-9	-7.673602E-4
1.900000E-9	-7.056926E-4
1.950000E-9	-6.851367E-4
2.000000E-9	-6.919887E-4
2.050000E-9	-7.313874E-4
2.100000E-9	-8.375928E-4
2.150000E-9	-9.883359E-4
2.200000E-9	-1.152783E-3
2.250000E-9	-1.324082E-3
2.300000E-9	-1.503946E-3
2.350000E-9	-1.646124E-3
2.400000E-9	-1.718070E-3
2.450000E-9	-1.759181E-3
2.500000E-9	-1.800293E-3
2.550000E-9	-1.839692E-3
2.600000E-9	-1.861961E-3
2.650000E-9	-1.843118E-3
2.700000E-9	-1.790015E-3
2.750000E-9	-1.724922E-3
2.800000E-9	-1.671819E-3
2.850000E-9	-1.610151E-3
2.900000E-9	-1.534780E-3
2.950000E-9	-1.467973E-3
3.000000E-9	-1.408018E-3
3.050000E-9	-1.366907E-3
3.100000E-9	-1.353203E-3
3.150000E-9	-1.351490E-3
3.200000E-9	-1.356629E-3
3.250000E-9	-1.375472E-3
3.300000E-9	-1.406305E-3
3.350000E-9	-1.411444E-3
3.400000E-9	-1.401167E-3
3.450000E-9	-1.418296E-3
3.500000E-9	-1.461121E-3
3.550000E-9	-1.497094E-3
3.600000E-9	-1.509085E-3
3.650000E-9	-1.512511E-3
3.700000E-9	-1.522789E-3
3.750000E-9	-1.550197E-3
3.800000E-9	-1.582743E-3
3.850000E-9	-1.610151E-3
3.900000E-9	-1.630707E-3
3.950000E-9	-1.623855E-3
4.000000E-9	-1.570753E-3
4.050000E-9	-1.502233E-3
4.100000E-9	-1.437139E-3
4.150000E-9	-1.346351E-3
4.200000E-9	-1.221303E-3
4.250000E-9	-1.089402E-3
4.300000E-9	-9.557891E-4
4.350000E-9	-8.153239E-4
4.400000E-9	-7.005536E-4
4.450000E-9	-6.097652E-4
4.500000E-9	-5.052728E-4
4.550000E-9	-4.384662E-4
4.600000E-9	-4.675870E-4
4.650000E-9	-5.618014E-4
4.700000E-9	-6.645808E-4
4.750000E-9	-7.724992E-4
4.800000E-9	-9.043994E-4
4.850000E-9	-1.043152E-3
4.900000E-9	-1.175052E-3
4.950000E-9	-1.264127E-3
5.000000E-9	-1.308665E-3
5.050000E-9	-1.334360E-3
5.100000E-9	-1.351490E-3
5.150000E-9	-1.318943E-3
5.200000E-9	-1.250423E-3
5.250000E-9	-1.188756E-3
5.300000E-9	-1.145931E-3
5.350000E-9	-1.113384E-3
5.400000E-9	-1.118523E-3
5.450000E-9	-1.163061E-3
5.500000E-9	-1.217877E-3
5.550000E-9	-1.264127E-3
5.600000E-9	-1.330934E-3
5.650000E-9	-1.420009E-3
5.700000E-9	-1.498807E-3
5.750000E-9	-1.551910E-3
5.800000E-9	-1.577604E-3
5.850000E-9	-1.581030E-3
5.900000E-9	-1.579317E-3
5.950000E-9	-1.577604E-3
6.000000E-9	-1.557049E-3
6.050000E-9	-1.517650E-3
6.100000E-9	-1.488529E-3
6.150000E-9	-1.474825E-3
6.200000E-9	-1.449130E-3
6.250000E-9	-1.384037E-3
6.300000E-9	-1.291535E-3
6.350000E-9	-1.188756E-3
6.400000E-9	-1.096254E-3
6.450000E-9	-1.029448E-3
6.500000E-9	-9.986139E-4
6.550000E-9	-1.007179E-3
6.600000E-9	-1.065420E-3
6.650000E-9	-1.130514E-3
6.700000E-9	-1.193895E-3
6.750000E-9	-1.250423E-3
6.800000E-9	-1.279544E-3
6.850000E-9	-1.300100E-3
6.900000E-9	-1.320656E-3
6.950000E-9	-1.306952E-3
7.000000E-9	-1.229868E-3
7.050000E-9	-1.118523E-3
7.100000E-9	-9.900489E-4
7.150000E-9	-8.341668E-4
7.200000E-9	-6.868497E-4
7.250000E-9	-6.012002E-4
7.300000E-9	-5.600884E-4
7.350000E-9	-5.343936E-4
7.400000E-9	-5.498105E-4
7.450000E-9	-6.320340E-4
7.500000E-9	-7.570823E-4
7.550000E-9	-8.804176E-4
7.600000E-9	-9.849100E-4
7.650000E-9	-1.075698E-3
7.700000E-9	-1.149357E-3
7.750000E-9	-1.212738E-3
7.800000E-9	-1.279544E-3
7.850000E-9	-1.358342E-3
7.900000E-9	-1.414870E-3
7.950000E-9	-1.420009E-3
8.000000E-9	-1.423435E-3
8.050000E-9	-1.438852E-3
8.100000E-9	-1.416583E-3
8.150000E-9	-1.341212E-3
8.200000E-9	-1.250423E-3
8.250000E-9	-1.175052E-3
8.300000E-9	-1.091115E-3
8.350000E-9	-9.900489E-4
8.400000E-9	-9.078254E-4
8.450000E-9	-8.650007E-4
8.500000E-9	-8.564357E-4
8.550000E-9	-8.461578E-4
8.600000E-9	-8.512967E-4
8.650000E-9	-9.095384E-4
8.700000E-9	-1.003753E-3
8.750000E-9	-1.096254E-3
8.800000E-9	-1.209312E-3
8.850000E-9	-1.378898E-3
8.900000E-9	-1.555336E-3
8.950000E-9	-1.651263E-3
9.000000E-9	-1.682097E-3
9.050000E-9	-1.682097E-3
9.100000E-9	-1.639272E-3
9.150000E-9	-1.531354E-3
9.200000E-9	-1.397741E-3
9.250000E-9	-1.260701E-3
9.300000E-9	-1.097967E-3
9.350000E-9	-9.318073E-4
9.400000E-9	-8.050460E-4
9.450000E-9	-7.211095E-4
9.500000E-9	-6.405990E-4
9.550000E-9	-5.806443E-4
9.600000E-9	-5.515235E-4
9.650000E-9	-5.463845E-4
9.700000E-9	-5.806443E-4
9.750000E-9	-6.594419E-4
9.800000E-9	-7.485173E-4
9.850000E-9	-8.581487E-4
9.900000E-9	-9.814840E-4
