Study Name	Tungsten_Calibration
Sample Name	2024-04-04
Run Name	spot11
Operator	Jonas
Date	4/4/2024
Time	10:47 AM
Sign	NEG
Grating Spacing	07.6 um
Channel	3
Number Traces	6000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	10:47:49 AM
	
Time	Amplitude
0.000000E+0	3.905193E-4
5.000000E-11	4.453350E-4
1.000000E-10	5.224195E-4
1.500000E-10	6.132080E-4
2.000000E-10	6.954315E-4
2.500000E-10	7.502472E-4
3.000000E-10	7.845070E-4
3.500000E-10	8.119148E-4
4.000000E-10	8.239057E-4
4.500000E-10	8.033499E-4
5.000000E-10	7.570991E-4
5.500000E-10	6.937185E-4
6.000000E-10	6.234859E-4
6.500000E-10	5.464014E-4
7.000000E-10	4.641779E-4
7.500000E-10	3.973713E-4
8.000000E-10	3.613985E-4
8.500000E-10	3.459816E-4
9.000000E-10	3.511205E-4
9.500000E-10	3.922323E-4
1.000000E-9	4.676038E-4
1.050000E-9	5.464014E-4
1.100000E-9	6.200599E-4
1.150000E-9	6.954315E-4
1.200000E-9	7.673771E-4
1.250000E-9	8.341837E-4
1.300000E-9	8.889994E-4
1.350000E-9	9.164072E-4
1.400000E-9	9.078423E-4
1.450000E-9	8.889994E-4
1.500000E-9	8.718695E-4
1.550000E-9	8.341837E-4
1.600000E-9	7.673771E-4
1.650000E-9	7.005705E-4
1.700000E-9	6.320509E-4
1.750000E-9	5.464014E-4
1.800000E-9	4.624649E-4
1.850000E-9	4.127882E-4
1.900000E-9	3.819543E-4
1.950000E-9	3.476945E-4
2.000000E-9	3.271387E-4
2.050000E-9	3.459816E-4
2.100000E-9	3.922323E-4
2.150000E-9	4.453350E-4
2.200000E-9	5.172805E-4
2.250000E-9	6.149210E-4
2.300000E-9	7.091354E-4
2.350000E-9	7.896460E-4
2.400000E-9	8.770084E-4
2.450000E-9	9.763619E-4
2.500000E-9	1.065437E-3
2.550000E-9	1.139096E-3
2.600000E-9	1.200764E-3
2.650000E-9	1.221319E-3
2.700000E-9	1.180208E-3
2.750000E-9	1.120253E-3
2.800000E-9	1.065437E-3
2.850000E-9	9.866398E-4
2.900000E-9	8.770084E-4
2.950000E-9	7.656641E-4
3.000000E-9	6.783016E-4
3.050000E-9	6.029300E-4
3.100000E-9	5.344104E-4
3.150000E-9	4.624649E-4
3.200000E-9	4.042232E-4
3.250000E-9	3.716764E-4
3.300000E-9	3.494075E-4
3.350000E-9	3.442686E-4
3.400000E-9	3.596855E-4
3.450000E-9	3.819543E-4
3.500000E-9	3.922323E-4
3.550000E-9	4.076492E-4
3.600000E-9	4.264921E-4
3.650000E-9	4.350570E-4
3.700000E-9	4.419090E-4
3.750000E-9	4.590389E-4
3.800000E-9	4.676038E-4
3.850000E-9	4.761688E-4
3.900000E-9	4.950117E-4
3.950000E-9	5.155676E-4
4.000000E-9	5.087156E-4
4.050000E-9	5.138546E-4
4.100000E-9	5.532533E-4
4.150000E-9	6.012171E-4
4.200000E-9	6.286249E-4
4.250000E-9	6.526068E-4
4.300000E-9	6.971445E-4
4.350000E-9	7.416822E-4
4.400000E-9	7.725161E-4
4.450000E-9	8.033499E-4
4.500000E-9	8.376097E-4
4.550000E-9	8.821474E-4
4.600000E-9	9.318241E-4
4.650000E-9	9.695099E-4
4.700000E-9	9.986307E-4
4.750000E-9	1.027752E-3
4.800000E-9	1.058585E-3
4.850000E-9	1.084280E-3
4.900000E-9	1.096271E-3
4.950000E-9	1.089419E-3
5.000000E-9	1.053446E-3
5.050000E-9	9.986307E-4
5.100000E-9	9.266851E-4
5.150000E-9	8.221928E-4
5.200000E-9	6.817276E-4
5.250000E-9	5.446884E-4
5.300000E-9	4.333440E-4
5.350000E-9	3.254257E-4
5.400000E-9	2.226463E-4
5.450000E-9	1.404228E-4
5.500000E-9	8.903306E-5
5.550000E-9	6.505120E-5
5.600000E-9	7.704213E-5
5.650000E-9	1.284318E-4
5.700000E-9	2.106553E-4
5.750000E-9	3.117218E-4
5.800000E-9	4.264921E-4
5.850000E-9	5.395494E-4
5.900000E-9	6.491808E-4
5.950000E-9	7.468212E-4
6.000000E-9	8.307577E-4
6.050000E-9	9.009903E-4
6.100000E-9	9.575190E-4
6.150000E-9	1.000344E-3
6.200000E-9	1.031178E-3
6.250000E-9	1.060298E-3
6.300000E-9	1.074002E-3
6.350000E-9	1.067150E-3
6.400000E-9	1.046594E-3
6.450000E-9	1.015761E-3
6.500000E-9	9.660839E-4
6.550000E-9	9.044163E-4
6.600000E-9	8.376097E-4
6.650000E-9	7.673771E-4
6.700000E-9	6.885795E-4
6.750000E-9	6.132080E-4
6.800000E-9	5.412624E-4
6.850000E-9	4.710298E-4
6.900000E-9	4.076492E-4
6.950000E-9	3.613985E-4
7.000000E-9	3.425556E-4
7.050000E-9	3.476945E-4
7.100000E-9	3.733894E-4
7.150000E-9	4.247791E-4
7.200000E-9	5.001506E-4
7.250000E-9	6.046430E-4
7.300000E-9	7.365433E-4
7.350000E-9	8.650175E-4
7.400000E-9	9.592320E-4
